client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
0608b8d30633e71163ef2344e5668762a56d4f19a7e7c296435d921f83536755f0e1310997e9d604821de0042ed52d63381f7300ea3402473376f12e00586a88	common_voice_pa-IN_37044486.mp3	36538903909df88e2b24a284c382b1eda983403d0438226c989450f11daa9bea	ਆਪਣੇ ਖ੍ਵਾਬਾਂ ਨੂੰ ਹਕੀਕਤ ਕਰਨ ਨਿਕਲਿਆ ਏ		2	0					pa-IN	
1d40b0951d30cdd043a0e5c5520301f3634b82f1a22fca259b324acbab5b5169baf4d45823aa965f817a64d515a199239d44a5789a751a3e8b7a7cd1e9690efd	common_voice_pa-IN_25141096.mp3	274553fa1f60936a84481ebff2e8e852a1455837e16dd28e7d7744e9eb954b44	ਜੋ ਸਮੇ ਦੀਆਂ ਸਰਕਾਰਾਂ ਨਹੀਂ ਚਾਹੁੰਦੀਆਂ		2	0					pa-IN	
401c9685f068490450b59e59c4166d16d8760e48bcfc0bfc8ff2b65bde3e7c1825dfc617333dd421894bb31405a12cec41095ce5cbb9461dff370d6919a20b40	common_voice_pa-IN_25109581.mp3	2ae0698c556f7469904305d28cd36e943f46d614b11d05c6d615fe18cc89cd99	ਕਰਾਂ ਹੁਕਮ ਮੈਂ ਸਿੰਘਾਂ ਦੁਲਾਰਿਆਂ ਨੂੰ		2	0	thirties	male_masculine			pa-IN	
70c96a46f6827039223782fee3a93b99fa8168c84d3e5f9a0e2a1f16cfc1d62ad6f52d19ac175ad3ee541abd81068d089df3693e843b932053395156f6ff36b6	common_voice_pa-IN_26619860.mp3	320143cf3d52cb3037bc9a73ba6efda357a4ffedb22545b164ed929508650be3	ਘਰ ਪਹੁੰਚਿਆ ਤਾਂ ਪਤਨੀ ਨੇ ਦੱਸਿਆ ਕਿ ਦਿਨੇ ਇਕ ਮੁੰਡਾ ਆਪਣੇ ਘਰ ਆਇਆ ਸੀ		2	0					pa-IN	
8dc74a2b7e7109610cdafb97f9f0d0df6c85cab6d7d8caa55ef100a14723787d3aaef966dbbfccc9885ea5da83c3a20ea6960bce9a3dacb34864e0b68b2b42a2	common_voice_pa-IN_40550478.mp3	2e43bc6e25561cd7800b5708fefe78b93f8670f74de606025006bb5b8a905b76	ਸਰਕਾਰੀ ਮਸ਼ੀਨਰੀ ਵੀ ਚੌਕਸ ਹੋ ਗਈ ਹੈ		2	0	thirties		Doaba style		pa-IN	
952823333cf51dd23a421baa3e6341b90a785c14c3f8e4bd90bb897cf00700002cad413843cbdcba012115f290f0de464a00172f15eb066613cc7a7148c72b64	common_voice_pa-IN_22792459.mp3	0bb9b985155632e5612d962eee13126b4b076c8799c313d2127f0437c4edb922	ਮੈਂ ਇਹ ਪੈਸੇ ਲੈਣੇ ਨਹੀਂ ਸੀ ਚਾਹੁੰਦਾ		2	1					pa-IN	
c9657750f5a881f67c67cba5430c547fa50a15be901e93a2122694f2e94d1c6371ca16134602807ca37eeaf751be33cd14bfac411e14e85a98b73829dbe4e15a	common_voice_pa-IN_37904214.mp3	2687cdc74aa6ba4af37c600d67ba91ae947a54296d5eb1571c9e01e776113dac	ਕੈਨੇਡਾ ਕੋਲ ਸਾਧਨਾਂ ਦੀ ਕੋਈ ਘਾਟ ਨਹੀਂ		2	0					pa-IN	
d181084b5fa5e2f6436642409ec4106214d64e26bd098f212c24ad3961bf5a343afc18b57db45b72528bb25ac85d33e8add7525dff0acaab48521f5dcd90a534	common_voice_pa-IN_32886063.mp3	350f82b07f099bf5bf339cd2df3d5a63cab63a0a6dda2a5949a8aa1d28cdc504	ਨੈਣ ਪ੍ਰਾਣ ਜਵਾਬ ਦੇ ਜਾਂਦੇ ਨੇ		2	0	teens	female_feminine	American influenced accent		pa-IN	
f6c042e1d9c10b6f19ec1bebece6e385fa9b9a13ac61363da0093445843d4564ebeaf883d3e4c029e5c0ff7bb8586a7dfbb4a5e71a1ff97edf5475bfff24b6eb	common_voice_pa-IN_32468099.mp3	3395c0232f29ab75320469da84f7d0c1afa930bd64d1b2f4dd666967fd57f321	ਮੇਰੇ ਤੇੜ ਚਾਦਰਾ ਬੱਝਾ ਹੋਇਆ ਸੀ		2	0					pa-IN	
1e39be142512f97eacfd8345062805205ae7173daef7429c75b9dc7695b6cf0fe622446d4de9b4beb6f5112c77e70d5714ce1460c35c2bc1e3689da561378a7e	common_voice_pa-IN_25244493.mp3	2f06afa3055d2773457f8019cb6fb9a6e25d9feaa9729096232087e04767daad	ਚਮਕੌਰ ਦੀ ਗੜੀ ਸ਼ਹਾਦਤ ਦਾ ਜਾਮ		2	0					pa-IN	
1e39be142512f97eacfd8345062805205ae7173daef7429c75b9dc7695b6cf0fe622446d4de9b4beb6f5112c77e70d5714ce1460c35c2bc1e3689da561378a7e	common_voice_pa-IN_25244497.mp3	2ad2db08f3cbd3118dae66db914ecfffc59f283ca458dda9280f650e24843633	ਬਾਬੇ ਦੀ ਸ਼ੋਹਰਤ ਸਾਰੀ ਦੁਨੀਆ ਵਿੱਚ ਫੈਲ ਗਈ		2	0					pa-IN	
2635ff65fd1bef7be685d7fcee1a30925798ff8d52324aae718047c5f74f4bd39c6596d1f3e4e4b875ffd156e477fab6dc168de307cf05573c8b24aedc04f5bb	common_voice_pa-IN_27646059.mp3	2c5121b9f75c3448535ffc0dcf068b9232aee5bf5d0b30a4fc2de44ec98c1765	ਉਸ ਨੂੰ ਅੰਦਰੋਂ ਬਾਹਰੋਂ ਪੱਛ ਦਿੱਤਾ ਹੋਵੇ		2	0					pa-IN	
2635ff65fd1bef7be685d7fcee1a30925798ff8d52324aae718047c5f74f4bd39c6596d1f3e4e4b875ffd156e477fab6dc168de307cf05573c8b24aedc04f5bb	common_voice_pa-IN_27646071.mp3	2f2f3cad507a3c3bed406809a50784b370c5f1cde66d79c60c62fc4196657592	ਜਿੰਨ੍ਹਾਂ ਰੂਹਾਂ ਦਾ ਤੂੰ ਕਤਲੇਆਮ ਕੀਤਾ ਹੈ		2	0					pa-IN	
5d21be2c97f8382dc29df69ebc0d225a6093b1b6434375c351ac7a16473f719c42912843a979f453209beb29e09dcabc85e38441662b48f56d57682cf8bf0c54	common_voice_pa-IN_23753892.mp3	1a4b86303a6d053f1e07ae86fb10092b8e0cd8c0f2703c5650430b0c5e8de2e9	ਅਣਖੀ ਪੰਜਾਬ ਦੀ ਅਣਖ ਮਰ ਮੁੱਕ ਗਈ ਹੈ		2	0	twenties	male_masculine			pa-IN	
5d21be2c97f8382dc29df69ebc0d225a6093b1b6434375c351ac7a16473f719c42912843a979f453209beb29e09dcabc85e38441662b48f56d57682cf8bf0c54	common_voice_pa-IN_23753894.mp3	24b313672bd2d75469c3842fa9199243eb5836c107d8b3d6c83e2fc3dd121fd5	ਤਿਸੁ ਨਾਰੀ ਕਉ ਦੁਖੁ ਨਾ ਜਮਾਨੈ		2	0	twenties	male_masculine			pa-IN	
6d4f1704792d3bd7b4b2f422fab7af61727a177bc08ac0f25bad2581eae7495dd3304546dc60fb7efadbc8bcd737e11ad4c6346ab7d8ac78708a1cf82ca453a5	common_voice_pa-IN_30645208.mp3	248f2f96a2e311b514e66e6d7bc5bd35dfc18a5519abc488f04b4b458237d0f1	ਉਸ ਨੇ ਨਾ ਹਾਂ ਕੀਤੀ ਸੀ ਨਾ ਹੂੰ		2	1	twenties	male_masculine			pa-IN	
6d4f1704792d3bd7b4b2f422fab7af61727a177bc08ac0f25bad2581eae7495dd3304546dc60fb7efadbc8bcd737e11ad4c6346ab7d8ac78708a1cf82ca453a5	common_voice_pa-IN_30645227.mp3	338f44bc0a2cc751594785368e2bcc63e4e4f74270d139b6edb1f7ecc0c6520c	ਸੱਸੀ ਥਲਾਂ ਚ ਪੁੰਨੂ ਨੂੰ ਆਵਾਜ਼ਾਂ ਮਾਰਦੀ ਰਹੀ		2	0	twenties	male_masculine			pa-IN	
9033688242f0c81139f4c53f76d8e1bed9b9f894f7713e670b0f003597d329ca9feb48fe7fb95eed2a9b7e465b5baf629220447ae8fa5373bffcefe5390751ef	common_voice_pa-IN_31444630.mp3	301ba24ba9f8eba1d797655c0902a8d949a72db8c7f85dac28371a73180c97d8	ਖੱਟੀਆਂ ਚੀਜ਼ਾਂ ਦਾ ਸੇਵਨ ਬਿਲਕੁਲ ਨਾ ਕਰੋ		4	0			Doabi		pa-IN	
9033688242f0c81139f4c53f76d8e1bed9b9f894f7713e670b0f003597d329ca9feb48fe7fb95eed2a9b7e465b5baf629220447ae8fa5373bffcefe5390751ef	common_voice_pa-IN_31444631.mp3	218709a334bcdb372eaa26fe9167aabd177d5ac0e0dd0c207cb089472a81f03f	ਉਹ ਬਹੁਤੀ ਭੱਜ ਨੱਠ ਵਿੱਚ ਵਿਸ਼ਵਾਸ ਨਹੀਂ ਰੱਖਦੇ		2	0			Doabi		pa-IN	
9387b362f2067be7700b1b221aa96eb95f5865df731093ae10a6e97438f594b3017364d15ea92a1cb704ce5ca8aa4f4efc15de9e9ad34176c995f5cce422d2f8	common_voice_pa-IN_25109767.mp3	23746050b34a09438b4ae08fc1030919fc1d5a5526f060fa401fc87834d654a0	ਉਹ ਉਦਾਰਵਾਦ ਦੀ ਸਾਧਾਰਨ ਪ੍ਰਕ੍ਰਿਤੀ ਨੂੰ ਨਹੀਂ ਸਮਝਦੀ		2	0					pa-IN	
